"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
TVE17EE036,"HS200(A+), MA202(O), EE202(A), EE204(A+), EE206(O), EE208(A+), EE232(O), EE234(O)"
TVE17EE037,"HS200(B+), MA202(C), EE202(C), EE204(P), EE206(C), EE208(B), EE232(A), EE234(B+)"
TVE17EE038,"HS200(A), MA202(A+), EE202(B), EE204(B), EE206(B+), EE208(B+), EE232(B+), EE234(O)"
TVE17EE039,"HS200(O), MA202(O), EE202(O), EE204(O), EE206(A+), EE208(O), EE232(O), EE234(O)"
TVE17EE040,"HS200(A), MA202(A), EE202(B+), EE204(B+), EE206(C), EE208(B), EE232(B+), EE234(A+)"
TVE17EE041,"HS200(O), MA202(O), EE202(O), EE204(O), EE206(O), EE208(O), EE232(O), EE234(O)"
TVE17EE042,"HS200(O), MA202(O), EE202(A+), EE204(A+), EE206(A+), EE208(O), EE232(A), EE234(A+)"
TVE17EE043,"HS200(B+), MA202(A+), EE202(B), EE204(B), EE206(B+), EE208(B+), EE232(B+), EE234(A)"
TVE17EE044,"HS200(O), MA202(O), EE202(O), EE204(O), EE206(A), EE208(A+), EE232(O), EE234(O)"
TVE17EE045,"HS200(O), MA202(A+), EE202(B+), EE204(A+), EE206(B+), EE208(A+), EE232(O), EE234(O)"
TVE17EE046,"HS200(A+), MA202(O), EE202(A+), EE204(A+), EE206(B+), EE208(A+), EE232(A+), EE234(A+)"
TVE17EE047,"HS200(A), MA202(B+), EE202(B+), EE204(B), EE206(B+), EE208(B+), EE232(O), EE234(A+)"
TVE17EE048,"HS200(O), MA202(O), EE202(O), EE204(O), EE206(O), EE208(O), EE232(O), EE234(O)"
TVE17EE049,"HS200(B), MA202(A+), EE202(F), EE204(B), EE206(B), EE208(B+), EE232(A+), EE234(B+)"
TVE17EE050,"HS200(O), MA202(A+), EE202(B+), EE204(A), EE206(O), EE208(O), EE232(A+), EE234(A+)"
TVE17EE051,"HS200(A), MA202(B), EE202(B), EE204(B), EE206(B), EE208(A), EE232(O), EE234(A)"
TVE17EE052,"HS200(B+), MA202(B+), EE202(B+), EE204(C), EE206(A), EE208(A+), EE232(O), EE234(A+)"
TVE17EE053,"HS200(A+), MA202(A+), EE202(B+), EE204(B), EE206(B+), EE208(O), EE232(A+), EE234(O)"
TVE17EE054,"HS200(B), MA202(B+), EE202(F), EE204(B), EE206(B), EE208(C), EE232(B), EE234(A)"
TVE17EE055,"HS200(O), MA202(O), EE202(B+), EE204(A+), EE206(A+), EE208(O), EE232(O), EE234(O)"
TVE17EE056,"HS200(A), MA202(A+), EE202(F), EE204(B), EE206(B+), EE208(B+), EE232(A+), EE234(A)"
TVE17EE057,"HS200(A+), MA202(B), EE202(C), EE204(B), EE206(B+), EE208(B), EE232(B+), EE234(A)"
TVE17EE058,"HS200(O), MA202(O), EE202(O), EE204(A+), EE206(O), EE208(O), EE232(O), EE234(A+)"
TVE17EE059,"HS200(A+), MA202(O), EE202(A), EE204(A+), EE206(B+), EE208(A+), EE232(O), EE234(A+)"
TVE17EE060,"HS200(A+), MA202(O), EE202(O), EE204(O), EE206(B+), EE208(O), EE232(O), EE234(O)"
TVE17EE061,"HS200(B+), MA202(B+), EE202(B+), EE204(B+), EE206(B+), EE208(O), EE232(O), EE234(A+)"
TVE17EE062,"HS200(B+), MA202(B+), EE202(B), EE204(B), EE206(B), EE208(B), EE232(A+), EE234(O)"
TVE17EE063,"HS200(B+), MA202(A), EE202(B), EE204(B), EE206(B), EE208(A+), EE232(O), EE234(A+)"
TVE17EE064,"HS200(B+), MA202(B+), EE202(B), EE204(B+), EE206(B+), EE208(B+), EE232(O), EE234(A+)"
TVE17EE065,"HS200(B), MA202(O), EE202(B+), EE204(B+), EE206(B+), EE208(A+), EE232(A+), EE234(O)"
TVE17EE066,"HS200(A+), MA202(A+), EE202(O), EE204(A+), EE206(A), EE208(A+), EE232(O), EE234(A)"
TVE17EE067,"HS200(B+), MA202(B), EE202(F), EE204(F), EE206(B), EE208(B), EE232(A+), EE234(A)"
TVE17EE068,"HS200(O), MA202(O), EE202(A+), EE204(A), EE206(O), EE208(O), EE232(O), EE234(O)"
TVE17EE069,"HS200(A+), MA202(O), EE202(C), EE204(A), EE206(B+), EE208(O), EE232(A), EE234(O)"
TVE17EE070,"HS200(B+), MA202(O), EE202(B), EE204(O), EE206(B+), EE208(A), EE232(B+), EE234(A+)"
TVE17EE071,"HS200(C), MA202(B), EE202(C), EE204(F), EE206(F), EE208(C), EE232(B+), EE234(B)"
TVE17EE072,"HS200(O), MA202(A+), EE202(A), EE204(A+), EE206(A+), EE208(O), EE232(O), EE234(A)"
TVE17EE073,"HS200(A+), MA202(O), EE202(O), EE204(O), EE206(A+), EE208(O), EE232(A+), EE234(A)"
TVE17EE074,"HS200(A+), MA202(O), EE202(O), EE204(B+), EE206(A+), EE208(A), EE232(O), EE234(O)"
TVE17EE075,"HS200(C), MA202(C), EE202(F), EE204(F), EE206(F), EE208(C), EE232(B+), EE234(A)"
TVE17EE076,"HS200(F), MA202(A), EE202(F), EE204(B), EE206(B), EE208(C), EE232(B+), EE234(B+)"
TVE17EE077,"HS200(B), MA202(A), EE202(B), EE204(B+), EE206(B), EE208(A+), EE232(B+), EE234(A+)"
TVE17EE078,"HS200(B), MA202(O), EE202(B), EE204(B+), EE206(B), EE208(B+), EE232(B), EE234(A+)"
TVE17EE079,"HS200(B+), MA202(O), EE202(B), EE204(B+), EE206(B+), EE208(A+), EE232(A+), EE234(A)"
TVE17EE080,"HS200(A), MA202(O), EE202(B+), EE204(A), EE206(B), EE208(A+), EE232(A+), EE234(A+)"
TVE17EE081,"HS200(A+), MA202(O), EE202(B), EE204(A+), EE206(B+), EE208(A+), EE232(B+), EE234(A+)"
TVE17EE082,"HS200(A+), MA202(A), EE202(A), EE204(B+), EE206(B+), EE208(A+), EE232(B+), EE234(A+)"
TVE17EE083,"HS200(B+), MA202(F), EE202(F), EE204(F), EE206(Withheld), EE208(Withheld), EE232(B),EE234(B)"
TVE17EE085,"HS200(O), MA202(O), EE202(B+), EE204(A+), EE206(A), EE208(A), EE232(A+), EE234(A+)"
TVE17EE086,"HS200(O), MA202(A), EE202(A+), EE204(A), EE206(B+), EE208(B+), EE232(A), EE234(O)"
TVE17EE087,"HS200(B+), MA202(B), EE202(F), EE204(B), EE206(F), EE208(P), EE232(B+), EE234(A+)"
TVE17EE088,"HS200(O), MA202(A), EE202(A+), EE204(O), EE206(A+), EE208(O), EE232(A+), EE234(O)"
TVE17EE089,"HS200(O), MA202(O), EE202(A+), EE204(B+), EE206(A), EE208(A+), EE232(O), EE234(O)"
TVE17EE090,"HS200(A), MA202(B+), EE202(C), EE204(C), EE206(B+), EE208(B+), EE232(A), EE234(A+)"
TVE17EE091,"HS200(A+), MA202(B), EE202(C), EE204(A+), EE206(C), EE208(B), EE232(A), EE234(O)"
TVE17EE092,"HS200(O), MA202(O), EE202(O), EE204(O), EE206(O), EE208(O), EE232(O), EE234(O)"
TVE17EE093,"HS200(B+), MA202(C), EE202(B+), EE204(F), EE206(B+), EE208(A), EE232(A), EE234(A+)"
TVE17EE094,"HS200(A+), MA202(C), EE202(B+), EE204(B), EE206(A), EE208(A), EE232(A), EE234(A)"
TVE17EE095,"HS200(B+), MA202(C), EE202(B), EE204(B), EE206(B+), EE208(B+), EE232(A), EE234(A)"
TVE17EE096,"HS200(B), MA202(F), EE202(F), EE204(F), EE206(B), EE208(C), EE232(A), EE234(B+)"
TVE17EE097,"HS200(O), MA202(A+), EE202(A), EE204(B+), EE206(B+), EE208(A), EE232(O), EE234(A)"
TVE17EE098,"HS200(B), MA202(C), EE202(F), EE204(F), EE206(C), EE208(F), EE232(B+), EE234(B+)"
TVE17EE099,"HS200(O), MA202(O), EE202(A+), EE204(A), EE206(B+), EE208(B+), EE232(A), EE234(A)"
TVE17EE100,"HS200(A), MA202(A+), EE202(C), EE204(B), EE206(B), EE208(B+), EE232(B+), EE234(A)"
TVE17EE101,"HS200(A+), MA202(B+), EE202(C), EE204(C), EE206(B), EE208(B), EE232(A+), EE234(A+)"
TVE17EE102,"HS200(B), MA202(B), EE202(C), EE204(C), EE206(B), EE208(B), EE232(P), EE234(C)"
TVE17EE103,"HS200(A), MA202(C), EE202(C), EE204(B+), EE206(B+), EE208(B), EE232(A), EE234(A+)"
TVE17EE104,"HS200(O), MA202(O), EE202(B+), EE204(A+), EE206(A+), EE208(O), EE232(O), EE234(O)"
TVE17EE105,"HS200(A+), MA202(O), EE202(B+), EE204(A+), EE206(B), EE208(A), EE232(O), EE234(O)"
TVE17EE106,"HS200(O), MA202(B+), EE202(B), EE204(B), EE206(A), EE208(A), EE232(A), EE234(A+)"
TVE17EE107,"HS200(O), MA202(O), EE202(A), EE204(B+), EE206(B+), EE208(A), EE232(A+), EE234(A+)"
TVE17EE108,"HS200(A+), MA202(A), EE202(C), EE204(B+), EE206(B), EE208(B+), EE232(B+), EE234(A)"
TVE17EE109,"HS200(A+), MA202(A+), EE202(B), EE204(B+), EE206(B), EE208(B+), EE232(B+), EE234(A+)"
TVE17EE110,"HS200(A), MA202(B+), EE202(F), EE204(F), EE206(B+), EE208(B+), EE232(B+), EE234(A)"
TVE17EE111,"HS200(B+), MA202(B+), EE202(C), EE204(B), EE206(F), EE208(B), EE232(O), EE234(A+)"
TVE17EE112,"HS200(A), MA202(A), EE202(A), EE204(B+), EE206(B+), EE208(A+), EE232(A+), EE234(O)"
TVE17EE113,"HS200(A+), MA202(O), EE202(B), EE204(A), EE206(B), EE208(B+), EE232(A+), EE234(O)"
TVE17EE114,"HS200(A+), MA202(O), EE202(B+), EE204(A), EE206(B), EE208(O), EE232(B+), EE234(A+)"
TVE17EE115,"HS200(B), MA202(C), EE202(F), EE204(B), EE206(F), EE208(C), EE232(A), EE234(A)"
TVE17EE116,"HS200(B+), MA202(B+), EE202(F), EE204(B), EE206(B), EE208(C), EE232(A+), EE234(A)"
TVE17EE117,"HS200(O), MA202(O), EE202(B+), EE204(A), EE206(B+), EE208(A), EE232(A), EE234(O)"
TVE17EE118,"HS200(O), MA202(O), EE202(A), EE204(O), EE206(A), EE208(O), EE232(O), EE234(O)"
TVE17EE119,"HS200(B), MA202(B+), EE202(C), EE204(C), EE206(C), EE208(B), EE232(B), EE234(A)"
TVE17EE120,"HS200(A+), MA202(O), EE202(B), EE204(A+), EE206(B+), EE208(B+), EE232(A), EE234(A+)"
TVE17EE121,"HS200(C), MA202(F), EE202(F), EE204(F), EE206(F), EE208(F), EE232(C), EE234(B)"
TVE17EE122,"HS200(A), MA202(O), EE202(F), EE204(B+), EE206(C), EE208(B), EE232(A), EE234(B+)"
TVE17EE123,"HS200(O), MA202(O), EE202(B+), EE204(O), EE206(B+), EE208(O), EE232(A+), EE234(B+)"
TVE17EE124,"HS200(A+), MA202(B+), EE202(A), EE204(B+), EE206(B+), EE208(A+), EE232(A), EE234(A)"
TVE17EE125,"HS200(O), MA202(O), EE202(A), EE204(A), EE206(A+), EE208(A), EE232(O), EE234(O)"
TVE17EE126,"HS200(C), MA202(F), EE202(Absent), EE204(F), EE206(Absent), EE208(F), EE232(C), EE234(B)"
TVE17EE127,"HS200(O), MA202(O), EE202(A+), EE204(O), EE206(B+), EE208(A), EE232(O), EE234(O)"
TVE17EE128,"HS200(O), MA202(O), EE202(A+), EE204(O), EE206(A+), EE208(O), EE232(O), EE234(O)"
MECHANICAL ENGINEERING[Full Time],
Course Code,Course
MA202,"PROBABILITY DISTRIBUTIONS, TRANSFORMS ANDNUMERICAL METHODS"
ME202,ADVANCED MECHANICS OF SOLIDS
ME204,THERMAL ENGINEERING
ME206,FLUID MACHINERY
ME220,MANUFACTURING TECHNOLOGY
HS210,LIFE SKILLS
ME232,THERMAL ENGINEERING LAB
Register No,,Course Code (Grade)
LTVE15ME126,"MA202(F), ME204(F), ME206(F)",
LTVE15ME129,"ME202(Absent), ME206(Absent)",
LTVE17ME125,"HS210(B), ME230(A+), MA202(F), ME220(F), ME232(A), ME202(F), ME204(F), ME206(C)",
LTVE17ME126,"HS210(B+), ME230(O), MA202(B), ME220(B), ME232(O), ME202(B), ME204(B), ME206(B)",
LTVE17ME127,"HS210(B+), ME230(O), MA202(B+), ME220(A), ME232(O), ME202(C), ME204(C), ME206(B+)",
LTVE17ME128,"HS210(A), ME230(O), MA202(C), ME220(B+), ME232(O), ME202(B), ME204(F), ME206(A)",
LTVE17ME129,"HS210(A), ME230(O), MA202(C), ME220(B+), ME232(A), ME202(B), ME204(C), ME206(C)",
LTVE17ME130,"HS210(A), ME230(O), MA202(A), ME220(A+), ME232(O), ME202(A), ME204(B+), ME206(A+)",
LTVE17ME131,"HS210(B+), ME230(O), MA202(B), ME220(B+), ME232(A+), ME202(F), ME204(B), ME206(B+)",
LTVE17ME132,"HS210(A), ME230(O), MA202(B+), ME220(A), ME232(O), ME202(B), ME204(B), ME206(B+)",
LTVE17ME133,"HS210(B+), ME230(O), MA202(C), ME220(B+), ME232(A+), ME202(B), ME204(B+), ME206(B+)",
LTVE17ME134,"HS210(B), ME230(A+), MA202(F), ME220(F), ME232(A+), ME202(F), ME204(F), ME206(F)",
LTVE17ME135,"HS210(B+), ME230(A+), MA202(C), ME220(B), ME232(A+), ME202(F), ME204(C), ME206(B)",
LTVE17ME136,"HS210(B+), ME230(O), MA202(B), ME220(A), ME232(A), ME202(F), ME204(B), ME206(A+)",
MAC17ME002,"HS210(A), ME230(O), MA202(B), ME220(B+), ME232(A+), ME202(B+), ME204(B), ME206(B+)",
TCR17ME023,"HS210(A+), ME230(O), MA202(B), ME220(B+), ME232(A), ME202(B), ME204(B), ME206(B)",
TRV17ME028,"HS210(O), ME230(O), MA202(O), ME220(O), ME232(O), ME202(O), ME204(O), ME206(O)",
TRV17ME032,"HS210(A+), ME230(O), MA202(O), ME220(A), ME232(O), ME202(B+), ME204(B+), ME206(A+)",
TVE15ME048,"ME202(F), ME204(Absent), ME206(Absent)",
TVE15ME065,ME204(C),
TVE16ME004,"ME202(Absent), ME204(F), ME206(F)",
TVE16ME007,"MA202(C), ME202(P), ME204(B), ME206(C)",
TVE16ME014,"ME202(Absent), ME204(B)",
TVE16ME026,"MA202(Absent), ME220(Absent), ME202(Absent), ME206(Absent)",
TVE16ME045,ME202(C),
TVE16ME057,ME202(C),
TVE16ME060,HS210(B+),
TVE16ME064,ME204(C),
TVE16ME065,ME202(F)
TVE16ME070,ME204(F)
TVE16ME088,"ME220(P), ME202(F)"
TVE16ME097,"ME204(F), ME206(B)"
TVE17ME001,"HS210(A+), ME230(A+), MA202(B+), ME220(A+), ME232(B+), ME202(A), ME204(B+),ME206(B+)"
TVE17ME002,"HS210(O), ME230(A), MA202(B+), ME220(O), ME232(A+), ME202(A), ME204(B+), ME206(A)"
TVE17ME004,"HS210(O), ME230(O), MA202(B+), ME220(A), ME232(B+), ME202(B), ME204(A), ME206(A+)"
TVE17ME005,"HS210(A), ME230(O), MA202(O), ME220(B+), ME232(O), ME202(O), ME204(B+), ME206(A)"
TVE17ME006,"HS210(A+), ME230(A+), MA202(A+), ME220(B), ME232(O), ME202(B), ME204(B), ME206(B)"
TVE17ME007,"HS210(O), ME230(A+), MA202(O), ME220(A+), ME232(O), ME202(O), ME204(B+), ME206(B+)"
TVE17ME008,"HS210(O), ME230(A+), MA202(O), ME220(A), ME232(O), ME202(O), ME204(A+), ME206(O)"
TVE17ME009,"HS210(O), ME230(O), MA202(A), ME220(A), ME232(O), ME202(B+), ME204(B), ME206(B+)"
TVE17ME010,"HS210(O), ME230(O), MA202(A+), ME220(B), ME232(A+), ME202(B+), ME204(B), ME206(B+)"
TVE17ME011,"HS210(O), ME230(O), MA202(O), ME220(A+), ME232(A+), ME202(O), ME204(A), ME206(A+)"
TVE17ME012,"HS210(B+), ME230(O), MA202(B), ME220(C), ME232(A), ME202(B), ME204(C), ME206(B)"
TVE17ME013,"HS210(A), ME230(A+), MA202(A), ME220(B), ME232(B+), ME202(B), ME204(B), ME206(B+)"
TVE17ME014,"HS210(A+), ME230(O), MA202(A+), ME220(A+), ME232(A+), ME202(O), ME204(A), ME206(A+)"
TVE17ME015,"HS210(B+), ME230(A+), MA202(O), ME220(B+), ME232(A), ME202(A+), ME204(B), ME206(B+)"
TVE17ME016,"HS210(A), ME230(O), MA202(O), ME220(A), ME232(O), ME202(O), ME204(A+), ME206(A)"
TVE17ME018,"HS210(A+), ME230(A), MA202(B+), ME220(C), ME232(B+), ME202(B), ME204(B), ME206(B)"
TVE17ME019,"HS210(A), ME230(O), MA202(A), ME220(B), ME232(A+), ME202(A+), ME204(B), ME206(A)"
TVE17ME020,"HS210(O), ME230(O), MA202(O), ME220(A+), ME232(A+), ME202(O), ME204(A+), ME206(A+)"
TVE17ME021,"HS210(B+), ME230(O), MA202(O), ME220(B+), ME232(A+), ME202(O), ME204(B), ME206(A)"
TVE17ME022,"HS210(A+), ME230(A+), MA202(Withheld), ME220(Withheld), ME232(A), ME202(B+),ME204(B+), ME206(Withheld)"
TVE17ME023,"HS210(B+), ME230(A+), MA202(B+), ME220(B), ME232(A), ME202(A+), ME204(A), ME206(A)"
TVE17ME024,"HS210(A+), ME230(A+), MA202(O), ME220(B+), ME232(O), ME202(B+), ME204(B), ME206(B)"
TVE17ME025,"HS210(B+), ME230(A), MA202(Withheld), ME220(Withheld), ME232(B+), ME202(B+), ME204(F),ME206(Withheld)"
TVE17ME026,"HS210(A+), ME230(A+), MA202(O), ME220(B+), ME232(O), ME202(O), ME204(B+), ME206(A+)"
TVE17ME027,"HS210(O), ME230(O), MA202(B+), ME220(B), ME232(O), ME202(B+), ME204(B), ME206(B)"
TVE17ME028,"HS210(O), ME230(O), MA202(O), ME220(A), ME232(A+), ME202(A+), ME204(A+), ME206(A)"
TVE17ME029,"HS210(O), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(O), ME204(A+), ME206(O)"
TVE17ME030,"HS210(O), ME230(A+), MA202(A+), ME220(B+), ME232(A), ME202(A+), ME204(B), ME206(A)"
TVE17ME031,"HS210(O), ME230(A+), MA202(A+), ME220(A), ME232(O), ME202(O), ME204(O), ME206(A+)"
TVE17ME032,"HS210(A), ME230(A+), MA202(A), ME220(B+), ME232(A+), ME202(A+), ME204(B+), ME206(B+)"
TVE17ME033,"HS210(O), ME230(O), MA202(O), ME220(A), ME232(O), ME202(B+), ME204(B), ME206(B+)"
TVE17ME034,"HS210(O), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(O), ME204(O), ME206(O)"
TVE17ME035,"HS210(A), ME230(O), MA202(B+), ME220(B), ME232(O), ME202(A), ME204(C), ME206(B+)"
TVE17ME037,"HS210(O), ME230(O), MA202(O), ME220(A), ME232(O), ME202(O), ME204(B+), ME206(O)"
TVE17ME038,"HS210(B+), ME230(O), MA202(B+), ME220(B), ME232(A+), ME202(B), ME204(B), ME206(C)"
TVE17ME039,"HS210(O), ME230(O), MA202(O), ME220(B+), ME232(O), ME202(O), ME204(B+), ME206(B+)"
TVE17ME040,"HS210(O), ME230(O), MA202(O), ME220(B), ME232(O), ME202(A+), ME204(B), ME206(A)"
TVE17ME041,"HS210(A), ME230(O), MA202(B+), ME220(B+), ME232(O), ME202(B+), ME204(A), ME206(B+)"
TVE17ME042,"HS210(O), ME230(O), MA202(O), ME220(B+), ME232(O), ME202(O), ME204(B+), ME206(O)"
TVE17ME043,"HS210(A+), ME230(O), MA202(O), ME220(B), ME232(O), ME202(A), ME204(B), ME206(A+)"
TVE17ME044,"HS210(A+), ME230(O), MA202(B+), ME220(B+), ME232(A), ME202(A), ME204(B+), ME206(B)"
TVE17ME045,"HS210(O), ME230(O), MA202(A), ME220(C), ME232(O), ME202(A), ME204(C), ME206(B)"
TVE17ME046,"HS210(A), ME230(O), MA202(B+), ME220(B+), ME232(O), ME202(B+), ME204(F), ME206(B+)"
TVE17ME047,"HS210(A+), ME230(O), MA202(B+), ME220(B+), ME232(O), ME202(B+), ME204(B), ME206(B+)"
TVE17ME048,"HS210(B+), ME230(O), MA202(B), ME220(C), ME232(A+), ME202(F), ME204(C), ME206(C)"
TVE17ME049,"HS210(A), ME230(O), MA202(O), ME220(A), ME232(O), ME202(O), ME204(O), ME206(A+)"
TVE17ME050,"HS210(B+), ME230(A+), MA202(B), ME220(F), ME232(A), ME202(C), ME204(F), ME206(B)"
TVE17ME051,"HS210(A+), ME230(A+), MA202(A+), ME220(B+), ME232(O), ME202(B+), ME204(B+), ME206(A)"
TVE17ME052,"HS210(O), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(A+), ME204(A), ME206(B+)"
TVE17ME053,"HS210(A+), ME230(O), MA202(O), ME220(B), ME232(O), ME202(B), ME204(B), ME206(B+)"
TVE17ME054,"HS210(B+), ME230(O), MA202(O), ME220(B), ME232(O), ME202(A+), ME204(B+), ME206(B+)"
TVE17ME055,"HS210(A), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(A+), ME204(A), ME206(A+)"
TVE17ME056,"HS210(A+), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(A+), ME204(B+), ME206(B+)"
TVE17ME057,"HS210(A+), ME230(O), MA202(O), ME220(B+), ME232(O), ME202(A), ME204(B+), ME206(A)"
TVE17ME058,"HS210(B+), ME230(A+), MA202(B), ME220(P), ME232(A), ME202(F), ME204(F), ME206(C)"
TVE17ME059,"HS210(A+), ME230(O), MA202(B+), ME220(B+), ME232(O), ME202(B), ME204(B), ME206(A)"
TVE17ME060,"HS210(B+), ME230(A), MA202(C), ME220(C), ME232(B+), ME202(F), ME204(F), ME206(F)"
TVE17ME061,"HS210(B+), ME230(O), MA202(B), ME220(B), ME232(A+), ME202(B+), ME204(B), ME206(B)"
TVE17ME062,"HS210(A), ME230(B+), MA202(A+), ME220(B+), ME232(O), ME202(B+), ME204(B), ME206(B+)"
TVE17ME063,"HS210(B+), ME230(B+), MA202(B+), ME220(F), ME232(O), ME202(B), ME204(B+), ME206(B)"
TVE17ME064,"HS210(A+), ME230(A+), MA202(O), ME220(B+), ME232(O), ME202(B+), ME204(B+), ME206(A+)"
TVE17ME065,"HS210(A+), ME230(A+), MA202(B), ME220(B), ME232(O), ME202(C), ME204(C), ME206(B)"
TVE17ME066,"HS210(A+), ME230(O), MA202(O), ME220(A), ME232(O), ME202(A+), ME204(B+), ME206(B+)"
TVE17ME067,"HS210(B+), ME230(B), MA202(C), ME220(F), ME232(O), ME202(F), ME204(F), ME206(C)"
TVE17ME068,"HS210(A), ME230(A+), MA202(B+), ME220(B+), ME232(A+), ME202(B+), ME204(B), ME206(B)"
TVE17ME069,"HS210(A), ME230(A), MA202(O), ME220(B), ME232(A+), ME202(B+), ME204(C), ME206(A)"
TVE17ME070,"HS210(A), ME230(O), MA202(B+), ME220(B), ME232(O), ME202(C), ME204(B), ME206(C)"
TVE17ME071,"HS210(B), ME230(B+), MA202(F), ME220(F), ME232(A+), ME202(F), ME204(F), ME206(F)"
TVE17ME072,"HS210(A), ME230(O), MA202(A+), ME220(B+), ME232(A+), ME202(B+), ME204(B+), ME206(A+)"
TVE17ME073,"HS210(A), ME230(A), MA202(B+), ME220(C), ME232(A), ME202(C), ME204(C), ME206(C)"
TVE17ME074,"HS210(A+), ME230(B+), MA202(O), ME220(A+), ME232(A+), ME202(B+), ME204(B), ME206(A+)"
TVE17ME075,"HS210(O), ME230(A), MA202(A), ME220(B+), ME232(A+), ME202(B), ME204(B), ME206(B)"
TVE17ME076,"HS210(B+), ME230(B+), MA202(B+), ME220(B), ME232(O), ME202(B), ME204(C), ME206(B)"
TVE17ME077,"HS210(A+), ME230(A), MA202(A+), ME220(B), ME232(O), ME202(B+), ME204(C), ME206(A)"
TVE17ME078,"HS210(A+), ME230(O), MA202(O), ME220(A+), ME232(O), ME202(A+), ME204(C), ME206(A)"
TVE17ME079,"HS210(A), ME230(A+), MA202(O), ME220(A), ME232(O), ME202(O), ME204(A), ME206(A+)"
TVE17ME080,"HS210(A), ME230(A+), MA202(B+), ME220(B), ME232(O), ME202(B), ME204(C), ME206(C)"
TVE17ME081,"HS210(A), ME230(O), MA202(B+), ME220(B+), ME232(O), ME202(B+), ME204(B+), ME206(B+)"
TVE17ME082,"HS210(A+), ME230(O), MA202(F), ME220(F), ME232(O), ME202(P), ME204(C), ME206(F)"
TVE17ME083,"HS210(A+), ME230(O), MA202(A+), ME220(A), ME232(O), ME202(B+), ME204(B), ME206(A)"
TVE17ME084,"HS210(A+), ME230(O), MA202(O), ME220(A), ME232(O), ME202(B+), ME204(B), ME206(B+)"
TVE17ME085,"HS210(B+), ME230(A), MA202(O), ME220(C), ME232(A+), ME202(A), ME204(F), ME206(B)"
TVE17ME086,"HS210(B+), ME230(B), MA202(C), ME220(F), ME232(O), ME202(Absent), ME204(F),ME206(Absent)"
TVE17ME087,"HS210(A), ME230(B+), MA202(A+), ME220(C), ME232(A+), ME202(B), ME204(F), ME206(B)"
TVE17ME088,"HS210(A+), ME230(A), MA202(O), ME220(B+), ME232(O), ME202(B), ME204(B), ME206(B+)"
TVE17ME089,"HS210(A+), ME230(A), MA202(Withheld), ME220(Withheld), ME232(O), ME202(B), ME204(B+),ME206(Withheld)"
TVE17ME090,"HS210(B+), ME230(B+), MA202(C), ME220(F), ME232(O), ME202(F), ME204(F), ME206(F)"
TVE17ME091,"HS210(B+), ME230(B), MA202(F), ME220(F), ME232(A), ME202(F), ME204(F), ME206(F)"
TVE17ME092,"HS210(B), ME230(B), MA202(B), ME220(B), ME232(O), ME202(C), ME204(C), ME206(B)"
TVE17ME093,"HS210(A+), ME230(A+), MA202(A+), ME220(A), ME232(O), ME202(O), ME204(B+), ME206(A)"
TVE17ME094,"HS210(B+), ME230(B+), MA202(A), ME220(B+), ME232(A+), ME202(A), ME204(B), ME206(B+)"
TVE17ME095,"HS210(A), ME230(B+), MA202(O), ME220(B), ME232(A), ME202(A+), ME204(B+), ME206(A)"
TVE17ME096,"HS210(O), ME230(A), MA202(O), ME220(A), ME232(O), ME202(O), ME204(B), ME206(B+)"
TVE17ME097,"HS210(A+), ME230(O), MA202(O), ME220(B+), ME232(A+), ME202(A), ME204(B), ME206(B+)"
TVE17ME098,"HS210(A), ME230(A+), MA202(O), ME220(B), ME232(O), ME202(C), ME204(C), ME206(B+)"
TVE17ME099,"HS210(B+), ME230(A+), MA202(B+), ME220(B+), ME232(A+), ME202(B+), ME204(B), ME206(A)"
TVE17ME100,"HS210(B+), ME230(A+), MA202(A), ME220(C), ME232(B+), ME202(C), ME204(F), ME206(B)"
TVE17ME101,"HS210(B+), ME230(O), MA202(A), ME220(B+), ME232(A+), ME202(C), ME204(B), ME206(B+)"
TVE17ME102,"HS210(A), ME230(O), MA202(O), ME220(B+), ME232(A+), ME202(A+), ME204(B+), ME206(A+)"
TVE17ME103,"HS210(A), ME230(O), MA202(O), ME220(A), ME232(A+), ME202(B+), ME204(B+), ME206(B+)"
TVE17ME104,"HS210(B+), ME230(O), MA202(A+), ME220(B+), ME232(A), ME202(B+), ME204(C), ME206(B)"
TVE17ME105,"HS210(A+), ME230(O), MA202(B), ME220(C), ME232(A+), ME202(F), ME204(C), ME206(B)"
TVE17ME106,"HS210(B+), ME230(O), MA202(P), ME220(F), ME232(B+), ME202(F), ME204(F), ME206(C)"
TVE17ME107,"HS210(A+), ME230(O), MA202(O), ME220(A), ME232(A), ME202(B), ME204(B+), ME206(B+)"
