"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
TVE17CE018,"HS210(O), MA202(A), CE202(B+), CE204(A+), CE206(A), CE208(A+), CE232(A), CE234(A+)"
TVE17CE019,"HS210(B), MA202(B), CE202(C), CE204(B), CE206(C), CE208(B+), CE232(A+), CE234(A+)"
TVE17CE020,"HS210(A+), MA202(A+), CE202(B+), CE204(A+), CE206(B+), CE208(B+), CE232(B+),CE234(B+)"
TVE17CE021,"HS210(B+), MA202(A+), CE202(B+), CE204(A+), CE206(B+), CE208(B+), CE232(A+), CE234(O)"
TVE17CE022,"HS210(A), MA202(O), CE202(A+), CE204(A+), CE206(O), CE208(B+), CE232(O), CE234(O)"
TVE17CE023,"HS210(B), MA202(C), CE202(F), CE204(B), CE206(C), CE208(B), CE232(A+), CE234(O)"
TVE17CE024,"HS210(A+), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE025,"HS210(A+), MA202(A), CE202(A), CE204(O), CE206(A+), CE208(O), CE232(A+), CE234(O)"
TVE17CE026,"HS210(A+), MA202(O), CE202(A), CE204(O), CE206(O), CE208(O), CE232(A+), CE234(O)"
TVE17CE027,"HS210(A), MA202(B+), CE202(B), CE204(A+), CE206(A), CE208(A+), CE232(A+), CE234(O)"
TVE17CE028,"HS210(A), MA202(O), CE202(A+), CE204(A+), CE206(A+), CE208(O), CE232(O), CE234(O)"
TVE17CE029,"HS210(B+), MA202(A), CE202(B), CE204(A), CE206(B+), CE208(A+), CE232(B+), CE234(A+)"
TVE17CE030,"HS210(B), MA202(O), CE202(B), CE204(A), CE206(C), CE208(B+), CE232(A+), CE234(O)"
TVE17CE031,"HS210(A+), MA202(Withheld), CE202(C), CE204(O), CE206(Withheld), CE208(Withheld),CE232(A), CE234(O)"
TVE17CE033,"HS210(B+), MA202(O), CE202(A), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE034,"HS210(O), MA202(O), CE202(O), CE204(O), CE206(O), CE208(O), CE232(O), CE234(O)"
TVE17CE035,"HS210(B), MA202(A+), CE202(B+), CE204(B+), CE206(B+), CE208(B), CE232(A+), CE234(O)"
TVE17CE036,"HS210(A+), MA202(B), CE202(B+), CE204(A+), CE206(A+), CE208(A+), CE232(A+), CE234(A)"
TVE17CE037,"HS210(C), MA202(C), CE202(C), CE204(B+), CE206(C), CE208(F), CE232(B+), CE234(O)"
TVE17CE038,"HS210(A+), MA202(B+), CE202(A), CE204(A), CE206(A), CE208(A), CE232(A+), CE234(O)"
TVE17CE039,"HS210(B), MA202(B+), CE202(C), CE204(B+), CE206(B), CE208(C), CE232(B+), CE234(A+)"
TVE17CE040,"HS210(B+), MA202(A+), CE202(A), CE204(A+), CE206(B+), CE208(O), CE232(A+), CE234(A+)"
TVE17CE041,"HS210(B+), MA202(O), CE202(B+), CE204(B+), CE206(B+), CE208(O), CE232(A+), CE234(A+)"
TVE17CE042,"HS210(A+), MA202(A), CE202(A), CE204(B+), CE206(A), CE208(O), CE232(A+), CE234(O)"
TVE17CE043,"HS210(F), MA202(F), CE202(F), CE204(F), CE206(F), CE208(F), CE232(B+), CE234(B+)"
